source,source_internal_id,bank_or_auctioneer,source_url,state,city,neighborhood,address,postal_code,latitude,longitude,registry_number,property_type,built_area_m2,land_area_m2,appraisal_value,minimum_value,current_bid_value,discount_percent,auction_date,notice_url,occupancy,notes,auction_modality,has_debts,debt_value,debt_description,debt_information_source,images
demo,DEMO-001,Base demonstrativa,https://example.com/leiloes/demo-001,SP,São Paulo,Centro,"Rua Exemplo, 100",01000000,-23.55052,-46.63331,12345,Apartamento,55,,500000,320000,320000,36,30/07/2026,https://example.com/edital-demo-001.pdf,Desocupado,Registro demonstrativo para validar a tela. Substitua por dados reais importados.,Extrajudicial,Não informado,,,,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=900&q=80
demo,DEMO-002,Base demonstrativa,https://example.com/leiloes/demo-002,SP,São Paulo,Pinheiros,"Rua dos Pinheiros, 850",05422001,-23.56629,-46.70183,22345,Apartamento,72,,850000,520000,520000,38.8,12/08/2026,https://example.com/edital-demo-002.pdf,Ocupado,Boa localização e desconto relevante; requer análise de ocupação.,Extrajudicial,Com dívidas,18500,Débitos condominiais informados no exemplo,CSV demonstrativo,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=900&q=80
demo,DEMO-003,Base demonstrativa,https://example.com/leiloes/demo-003,SP,Santos,Gonzaga,"Avenida Ana Costa, 300",11060001,-23.96595,-46.33217,32345,Sala comercial,44,,430000,258000,258000,40,18/08/2026,https://example.com/edital-demo-003.pdf,Desocupado,Imóvel comercial em região central com boa liquidez.,Judicial,Sem dívidas,,,CSV demonstrativo,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?auto=format&fit=crop&w=900&q=80
demo,DEMO-004,Base demonstrativa,https://example.com/leiloes/demo-004,MG,Belo Horizonte,Savassi,"Rua Pernambuco, 1000",30130151,-19.93873,-43.93744,42345,Apartamento,88,,760000,498000,498000,34.5,25/08/2026,https://example.com/edital-demo-004.pdf,Desocupado,Região de alta liquidez e infraestrutura consolidada.,Extrajudicial,Não informado,,,,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?auto=format&fit=crop&w=900&q=80
demo,DEMO-005,Base demonstrativa,https://example.com/leiloes/demo-005,MG,Uberlândia,Centro,"Avenida Afonso Pena, 1200",38400064,-18.91861,-48.27722,52345,Casa,130,240,620000,390000,390000,37.1,02/09/2026,https://example.com/edital-demo-005.pdf,Ocupado,Casa em área central; ocupação aumenta risco jurídico.,Judicial,Com dívidas,9200,IPTU informado no exemplo,CSV demonstrativo,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=900&q=80
demo,DEMO-006,Base demonstrativa,https://example.com/leiloes/demo-006,PR,Curitiba,Batel,"Avenida do Batel, 1500",80420090,-25.44111,-49.28754,62345,Apartamento,96,,980000,650000,650000,33.7,05/09/2026,https://example.com/edital-demo-006.pdf,Desocupado,Bairro nobre com liquidez acima da média.,Extrajudicial,Sem dívidas,,,CSV demonstrativo,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=900&q=80
demo,DEMO-007,Base demonstrativa,https://example.com/leiloes/demo-007,PR,Londrina,Gleba Palhano,"Rua Caracas, 500",86050190,-23.33487,-51.17394,72345,Apartamento,68,,560000,336000,336000,40,10/09/2026,https://example.com/edital-demo-007.pdf,Desocupado,Região verticalizada com boa procura residencial.,Extrajudicial,Não informado,,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=900&q=80
demo,DEMO-008,Base demonstrativa,https://example.com/leiloes/demo-008,SC,Florianópolis,Trindade,"Rua Lauro Linhares, 900",88036002,-27.59055,-48.52319,82345,Apartamento,62,,690000,455000,455000,34.1,14/09/2026,https://example.com/edital-demo-008.pdf,Ocupado,Próximo a serviços e universidade; ocupação exige cautela.,Judicial,Não informado,,,,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?auto=format&fit=crop&w=900&q=80
demo,DEMO-009,Base demonstrativa,https://example.com/leiloes/demo-009,SC,Joinville,América,"Rua Blumenau, 400",89204000,-26.30160,-48.84910,92345,Casa,145,300,720000,432000,432000,40,20/09/2026,https://example.com/edital-demo-009.pdf,Desocupado,Casa em bairro com boa infraestrutura urbana.,Extrajudicial,Sem dívidas,,,CSV demonstrativo,https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=900&q=80
demo,DEMO-010,Base demonstrativa,https://example.com/leiloes/demo-010,SP,Campinas,Cambuí,"Rua Maria Monteiro, 700",13025001,-22.89512,-47.05323,10345,Apartamento,81,,780000,468000,468000,40,28/09/2026,https://example.com/edital-demo-010.pdf,Desocupado,Bairro valorizado e com boa liquidez de revenda.,Extrajudicial,Não informado,,,,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?auto=format&fit=crop&w=900&q=80
demo,DEMO-011,Base demonstrativa,https://example.com/leiloes/demo-011,MG,Contagem,Eldorado,"Avenida João César de Oliveira, 1400",32310000,-19.93215,-44.05263,11345,Loja,110,,610000,305000,305000,50,03/10/2026,https://example.com/edital-demo-011.pdf,Desocupado,Desconto alto; avaliar fluxo comercial da região.,Judicial,Com dívidas,27000,Débitos fiscais informados no exemplo,CSV demonstrativo,https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=900&q=80
demo,DEMO-012,Base demonstrativa,https://example.com/leiloes/demo-012,PR,Maringá,Zona 07,"Avenida Colombo, 5800",87020000,-23.42100,-51.93306,12346,Terreno,,420,480000,288000,288000,40,11/10/2026,https://example.com/edital-demo-012.pdf,Desocupado,Terreno urbano com desconto relevante; liquidez depende do zoneamento.,Extrajudicial,Sem dívidas,,,CSV demonstrativo,https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=900&q=80
